Sand_Type,Interface_Mode,Normal_Stress_sigma_n_kPa,Bedding_Angle_theta_deg,Shear_Displacement_u_mm,Shear_Stress_tau_kPa,Data_Type
Crushed Sand,Sand-Sand,27.25,30,1.66,40.589,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,1.89,40.384,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,2.12,40.179,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,2.35,39.974,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,2.58,39.769,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,2.81,39.564,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,3.04,39.359,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,3.27,39.154,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,3.5,38.949,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0,0,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.12,4.301,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.24,8.601,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.36,12.902,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.48,17.202,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.6,21.503,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.72,25.803,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.84,30.104,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,0.96,34.404,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,1.08,38.704,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,1.2,43.005,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,1.43,42.79,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,1.66,42.575,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,1.89,42.36,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,2.12,42.145,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,2.35,41.93,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,2.58,41.715,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,2.81,41.5,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,3.04,41.285,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,3.27,41.07,experimental_digitised
Crushed Sand,Sand-Sand,27.25,45,3.5,40.855,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0,0,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.12,6.6,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.24,13.199,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.36,19.799,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.48,26.398,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.6,32.998,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.72,39.598,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.84,46.197,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,0.96,52.797,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,1.08,59.396,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,1.2,65.996,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,1.43,65.666,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,1.66,65.336,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,1.89,65.006,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,2.12,64.676,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,2.35,64.346,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,2.58,64.016,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,2.81,63.686,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,3.04,63.356,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,3.27,63.026,experimental_digitised
Crushed Sand,Sand-Sand,54.5,0,3.5,62.696,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0,0,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.12,7.501,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.24,15.003,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.36,22.504,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.48,30.005,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.6,37.507,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.72,45.008,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.84,52.509,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,0.96,60.01,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,1.08,67.512,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,1.2,75.013,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,1.43,74.638,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,1.66,74.263,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,1.89,73.888,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,2.12,73.513,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,2.35,73.138,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,2.58,72.763,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,2.81,72.388,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,3.04,72.012,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,3.27,71.637,experimental_digitised
Crushed Sand,Sand-Sand,54.5,15,3.5,71.262,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0,0,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.12,8.2,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.24,16.4,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.36,24.599,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.48,32.799,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.6,40.999,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.72,49.199,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.84,57.399,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,0.96,65.598,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,1.08,73.798,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,1.2,81.998,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,1.43,81.588,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,1.66,81.178,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,1.89,80.768,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,2.12,80.358,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,2.35,79.948,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,2.58,79.538,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,2.81,79.128,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,3.04,78.718,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,3.27,78.308,experimental_digitised
Crushed Sand,Sand-Sand,54.5,30,3.5,77.898,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0,0,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.12,8.601,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.24,17.202,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.36,25.803,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.48,34.404,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.6,43.005,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.72,51.607,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.84,60.208,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,0.96,68.809,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,1.08,77.41,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,1.2,86.011,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,1.43,85.581,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,1.66,85.151,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,1.89,84.721,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,2.12,84.291,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,2.35,83.861,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,2.58,83.431,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,2.81,83.001,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,3.04,82.571,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,3.27,82.141,experimental_digitised
Crushed Sand,Sand-Sand,54.5,45,3.5,81.71,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0,0,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.12,13.199,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.24,26.399,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.36,39.598,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.48,52.797,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.6,65.996,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.72,79.196,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.84,92.395,experimental_digitised
Crushed Sand,Sand-Sand,109,0,0.96,105.594,experimental_digitised
Crushed Sand,Sand-Sand,109,0,1.08,118.794,experimental_digitised
Crushed Sand,Sand-Sand,109,0,1.2,131.993,experimental_digitised
Crushed Sand,Sand-Sand,109,0,1.43,131.333,experimental_digitised
Crushed Sand,Sand-Sand,109,0,1.66,130.673,experimental_digitised
Crushed Sand,Sand-Sand,109,0,1.89,130.013,experimental_digitised
Crushed Sand,Sand-Sand,109,0,2.12,129.353,experimental_digitised
Crushed Sand,Sand-Sand,109,0,2.35,128.693,experimental_digitised
Crushed Sand,Sand-Sand,109,0,2.58,128.033,experimental_digitised
Crushed Sand,Sand-Sand,109,0,2.81,127.373,experimental_digitised
Crushed Sand,Sand-Sand,109,0,3.04,126.713,experimental_digitised
Crushed Sand,Sand-Sand,109,0,3.27,126.053,experimental_digitised
Crushed Sand,Sand-Sand,109,0,3.5,125.393,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0,0,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.12,15.003,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.24,30.005,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.36,45.008,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.48,60.01,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.6,75.013,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.72,90.016,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.84,105.018,experimental_digitised
Crushed Sand,Sand-Sand,109,15,0.96,120.021,experimental_digitised
Crushed Sand,Sand-Sand,109,15,1.08,135.023,experimental_digitised
Crushed Sand,Sand-Sand,109,15,1.2,150.026,experimental_digitised
Crushed Sand,Sand-Sand,109,15,1.43,149.276,experimental_digitised
Crushed Sand,Sand-Sand,109,15,1.66,148.526,experimental_digitised
Crushed Sand,Sand-Sand,109,15,1.89,147.776,experimental_digitised
Crushed Sand,Sand-Sand,109,15,2.12,147.025,experimental_digitised
Crushed Sand,Sand-Sand,109,15,2.35,146.275,experimental_digitised
Crushed Sand,Sand-Sand,109,15,2.58,145.525,experimental_digitised
Crushed Sand,Sand-Sand,109,15,2.81,144.775,experimental_digitised
Crushed Sand,Sand-Sand,109,15,3.04,144.025,experimental_digitised
Crushed Sand,Sand-Sand,109,15,3.27,143.275,experimental_digitised
Crushed Sand,Sand-Sand,109,15,3.5,142.525,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0,0,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.12,16.4,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.24,32.799,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.36,49.199,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.48,65.598,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.6,81.998,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.72,98.398,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.84,114.797,experimental_digitised
Crushed Sand,Sand-Sand,109,30,0.96,131.197,experimental_digitised
Crushed Sand,Sand-Sand,109,30,1.08,147.596,experimental_digitised
Crushed Sand,Sand-Sand,109,30,1.2,163.996,experimental_digitised
Crushed Sand,Sand-Sand,109,30,1.43,163.176,experimental_digitised
Crushed Sand,Sand-Sand,109,30,1.66,162.356,experimental_digitised
Crushed Sand,Sand-Sand,109,30,1.89,161.536,experimental_digitised
Crushed Sand,Sand-Sand,109,30,2.12,160.716,experimental_digitised
Crushed Sand,Sand-Sand,109,30,2.35,159.896,experimental_digitised
Crushed Sand,Sand-Sand,109,30,2.58,159.076,experimental_digitised
Crushed Sand,Sand-Sand,109,30,2.81,158.256,experimental_digitised
Crushed Sand,Sand-Sand,109,30,3.04,157.436,experimental_digitised
Crushed Sand,Sand-Sand,109,30,3.27,156.616,experimental_digitised
Crushed Sand,Sand-Sand,109,30,3.5,155.796,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0,0,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.12,17.202,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.24,34.404,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.36,51.607,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.48,68.809,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.6,86.011,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.72,103.213,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.84,120.415,experimental_digitised
Crushed Sand,Sand-Sand,109,45,0.96,137.618,experimental_digitised
Crushed Sand,Sand-Sand,109,45,1.08,154.82,experimental_digitised
Crushed Sand,Sand-Sand,109,45,1.2,172.022,experimental_digitised
Crushed Sand,Sand-Sand,109,45,1.43,171.162,experimental_digitised
Crushed Sand,Sand-Sand,109,45,1.66,170.302,experimental_digitised
Crushed Sand,Sand-Sand,109,45,1.89,169.442,experimental_digitised
Crushed Sand,Sand-Sand,109,45,2.12,168.582,experimental_digitised
Crushed Sand,Sand-Sand,109,45,2.35,167.721,experimental_digitised
Crushed Sand,Sand-Sand,109,45,2.58,166.861,experimental_digitised
Crushed Sand,Sand-Sand,109,45,2.81,166.001,experimental_digitised
Crushed Sand,Sand-Sand,109,45,3.04,165.141,experimental_digitised
Crushed Sand,Sand-Sand,109,45,3.27,164.281,experimental_digitised
Crushed Sand,Sand-Sand,109,45,3.5,163.421,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.05,1.497,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.1,2.994,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.15,4.49,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.2,5.987,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.25,7.484,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.3,8.981,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.35,10.478,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.4,11.974,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.45,13.471,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.5,14.968,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.59,14.923,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.68,14.878,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.77,14.833,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.86,14.788,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,0.95,14.743,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,1.04,14.699,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,1.13,14.654,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,1.22,14.609,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,1.31,14.564,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,0,1.4,14.519,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.05,1.552,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.1,3.105,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.15,4.657,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.2,6.21,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.25,7.762,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.3,9.314,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.35,10.866,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.4,12.419,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.45,13.971,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.5,15.524,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.59,15.477,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.68,15.43,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.77,15.384,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.86,15.338,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,0.95,15.291,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,1.04,15.245,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,1.13,15.198,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,1.22,15.151,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,1.31,15.104,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,15,1.4,15.058,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.05,1.587,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.1,3.173,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.15,4.76,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.2,6.347,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.25,7.934,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.3,9.52,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.35,11.107,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.4,12.693,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.45,14.279,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.5,15.866,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.59,15.818,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.68,15.771,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.77,15.723,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.86,15.676,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,0.95,15.628,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,1.04,15.581,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,1.13,15.533,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,1.22,15.486,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,1.31,15.438,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,30,1.4,15.39,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.05,1.633,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.1,3.267,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.15,4.9,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.2,6.533,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.25,8.167,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.3,9.801,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.35,11.434,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.4,13.068,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.45,14.701,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.5,16.334,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.59,16.286,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.68,16.236,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.77,16.188,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.86,16.138,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,0.95,16.09,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,1.04,16.04,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,1.13,15.992,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,1.22,15.942,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,1.31,15.894,experimental_digitised
Crushed Sand,Sand-Concrete,27.25,45,1.4,15.844,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.05,2.994,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.1,5.987,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.15,8.981,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.2,11.975,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.25,14.969,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.3,17.962,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.35,20.956,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.4,23.95,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.45,26.943,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.5,29.937,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.59,29.847,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.68,29.757,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.77,29.668,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.86,29.578,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,0.95,29.488,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,1.04,29.398,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,1.13,29.308,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,1.22,29.219,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,1.31,29.129,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,0,1.4,29.039,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.05,3.105,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.1,6.21,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.15,9.315,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.2,12.42,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.25,15.525,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.3,18.629,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.35,21.734,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.4,24.839,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.45,27.944,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.5,31.049,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.59,30.955,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.68,30.863,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.77,30.769,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.86,30.676,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,0.95,30.583,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,1.04,30.49,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,1.13,30.397,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,1.22,30.303,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,1.31,30.21,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,15,1.4,30.117,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.05,3.173,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.1,6.347,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.15,9.52,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.2,12.693,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.25,15.866,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.3,19.039,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.35,22.213,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.4,25.386,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.45,28.56,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.5,31.733,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.59,31.638,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.68,31.542,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.77,31.447,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.86,31.352,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,0.95,31.257,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,1.04,31.162,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,1.13,31.066,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,1.22,30.971,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,1.31,30.876,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,30,1.4,30.781,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.05,3.267,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.1,6.534,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.15,9.801,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.2,13.068,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.25,16.334,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.3,19.602,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.35,22.869,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.4,26.135,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.45,29.403,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.5,32.67,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.59,32.572,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.68,32.474,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.77,32.375,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.86,32.277,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,0.95,32.179,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,1.04,32.081,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,1.13,31.983,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,1.22,31.885,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,1.31,31.787,experimental_digitised
Crushed Sand,Sand-Concrete,54.5,45,1.4,31.69,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.05,5.987,experimental_digitised
